gender,race_ethnicity,level_of_education,language_proficiency,training_manuals,hr_interview_score,x_ray_module_assessment_score,etd_module_assessment_score,phy_module_assessment_score,dg_module_assessment_score,tsa_test_score,cbp_test_score,Certification_exam_score
male,group D,some college,intermediate,none,65,76,65,71,67,66,60,69
male,group D,high school,intermediate,none,56,67,56,62,58,57,51,60
female,group C,some high school,fluent,provided,60,72,60,66,64,54,67,59
male,group D,associate's degree,fluent,none,52,64,52,58,55,55,49,52
male,group B,some college,fluent,provided,72,84,72,78,76,75,70,71
female,group B,associate's degree,fluent,provided,65,77,65,71,70,70,66,59
male,group A,some college,fluent,provided,73,85,73,79,75,72,70,78
female,group D,high school,intermediate,provided,66,77,66,72,69,61,71,65
male,group C,high school,fluent,none,51,63,51,57,54,53,49,52
male,group B,some high school,intermediate,provided,65,64,54,60,59,50,52,49
female,group D,some college,intermediate,none,62,74,62,68,67,67,62,58
female,group D,some college,fluent,provided,85,97,85,91,90,84,91,79
female,group D,some college,intermediate,provided,65,77,65,71,70,63,73,58
other,group B,some high school,fluent,provided,82,94,82,88,87,82,86,79
male,group D,high school,intermediate,none,59,70,59,65,61,57,56,63
male,group C,high school,intermediate,none,64,75,64,70,66,66,59,66
male,group D,associate's degree,intermediate,none,84,95,84,90,85,87,75,90
male,group C,some college,intermediate,none,70,81,70,76,70,64,66,80
female,group C,associate's degree,fluent,none,67,78,67,73,71,67,70,63
male,group B,some high school,fluent,provided,82,94,82,88,85,84,78,85
male,group E,some high school,fluent,provided,77,88,77,83,80,76,77,77
female,group C,some college,fluent,provided,82,95,82,88,90,89,88,70
male,group B,high school,fluent,none,55,66,55,61,57,58,47,59
male,group D,high school,intermediate,none,48,59,48,54,52,51,48,44
female,group B,some high school,limitted,provided,42,54,42,48,49,51,44,32
male,group D,some college,intermediate,none,51,62,51,57,55,57,46,49
female,group C,high school,fluent,none,78,90,78,84,84,80,83,72
male,group E,some college,fluent,provided,82,93,82,88,84,83,78,84
female,group E,high school,intermediate,provided,68,81,68,74,75,75,73,57
female,group D,high school,intermediate,provided,98,100,98,104,103,100,100,93
male,group C,high school,fluent,none,78,89,78,84,80,78,73,83
female,group C,some college,intermediate,none,86,98,86,92,92,90,91,77
female,group C,high school,fluent,none,88,100,88,94,92,92,87,86
male,group B,some college,fluent,none,59,70,59,65,59,54,55,69
male,group B,associate's degree,fluent,provided,91,102,91,97,94,89,92,91
female,group C,associate's degree,intermediate,none,59,71,59,65,64,61,62,53
male,group B,some high school,fluent,provided,49,60,49,55,51,54,41,51
female,group C,some college,intermediate,none,64,75,64,70,68,67,62,62
female,group C,high school,fluent,none,66,78,66,72,72,72,68,59
male,group D,high school,fluent,none,46,58,46,52,50,48,46,45
female,group C,some college,fluent,none,87,99,87,93,92,87,91,84
female,group B,some college,intermediate,provided,64,76,64,70,71,66,73,53
female,group D,high school,fluent,none,73,85,73,79,78,77,73,69
male,group C,some college,limitted,none,30,41,30,36,32,28,27,35
female,group C,high school,fluent,none,69,81,69,75,74,69,74,63
female,group D,high school,intermediate,none,46,58,46,52,51,52,46,39
female,group A,some high school,intermediate,none,67,79,67,73,73,73,69,59
female,group C,high school,limitted,provided,62,74,62,68,68,64,67,54
female,group B,some college,fluent,none,85,96,85,91,89,85,87,82
male,group D,high school,fluent,none,49,60,49,55,51,52,42,53
male,group A,high school,intermediate,none,45,56,45,51,47,45,41,48
male,group C,associate's degree,fluent,none,77,88,77,83,78,76,71,85
male,group A,some college,intermediate,provided,80,92,80,86,83,78,81,81
male,group C,associate's degree,fluent,none,40,51,40,46,41,37,35,47
female,group A,some college,fluent,none,59,71,59,65,64,58,64,56
female,group B,high school,intermediate,none,49,62,49,55,56,60,50,38
female,group D,some college,intermediate,provided,74,87,74,80,81,80,80,63
male,group B,high school,intermediate,none,53,64,53,59,53,48,47,63
female,group C,some high school,fluent,provided,90,102,90,96,95,92,93,85
female,group C,high school,fluent,none,83,95,83,89,89,88,85,75
female,group A,some high school,fluent,provided,89,100,89,95,94,90,92,85
male,group C,some high school,intermediate,none,68,80,68,74,71,71,65,69
female,group C,high school,intermediate,none,56,69,56,62,64,63,62,44
male,group C,high school,fluent,none,64,76,64,70,66,63,61,69
female,group D,some high school,fluent,provided,69,81,69,75,75,74,72,61
female,group C,high school,fluent,none,70,82,70,76,75,72,74,65
male,group C,some college,fluent,none,70,75,64,70,68,63,60,63
male,group D,some college,fluent,none,69,80,69,75,70,64,66,76
female,group C,associate's degree,fluent,none,58,69,58,64,62,61,58,54
male,group C,high school,fluent,none,68,80,68,74,71,70,65,70
male,group D,high school,intermediate,provided,69,81,69,75,75,70,76,61
other,group E,high school,fluent,none,75,87,75,81,79,78,74,73
female,group C,high school,intermediate,provided,77,89,77,83,83,79,84,67
female,group C,high school,fluent,none,82,94,82,88,86,84,82,81
female,group C,some college,intermediate,,59,71,59,65,66,64,66,46
male,group B,high school,intermediate,none,31,42,31,37,32,29,27,36
male,group C,high school,intermediate,provided,77,88,77,83,80,77,75,79
male,group D,high school,fluent,none,72,84,72,78,74,73,68,76
female,group D,high school,intermediate,none,53,64,53,59,57,57,52,49
male,group C,high school,intermediate,provided,73,85,73,79,77,75,74,70
male,group B,high school,fluent,none,68,79,68,74,68,60,65,79
male,group D,some college,fluent,provided,84,95,84,90,87,81,85,85
female,group A,high school,fluent,provided,79,90,79,85,83,82,79,75
male,group C,high school,fluent,provided,92,100,92,98,94,90,91,94
male,group D,high school,fluent,none,61,72,61,67,62,58,57,69
male,group E,some college,fluent,none,79,90,79,85,80,76,74,86
female,group C,associate's degree,fluent,provided,71,84,71,77,79,77,80,57
male,group C,some high school,fluent,none,46,58,46,52,49,49,41,49
female,group E,associate's degree,fluent,provided,72,84,72,78,78,75,77,65
female,group B,associate's degree,fluent,none,46,58,46,52,51,48,50,40
male,group C,some college,intermediate,none,59,71,59,65,61,61,54,63
female,group C,high school,fluent,none,84,96,84,90,90,88,87,77
male,group C,high school,fluent,provided,71,83,71,77,74,74,68,71
male,group C,some high school,intermediate,none,58,69,58,64,60,57,56,61
male,group B,some college,fluent,provided,83,94,83,89,85,85,76,88
female,group E,associate's degree,intermediate,provided,86,97,86,92,90,86,88,83
female,group A,high school,fluent,none,50,62,50,56,53,49,51,51
female,group B,high school,intermediate,provided,75,87,75,81,81,78,79,67
male,group C,associate's degree,intermediate,none,77,88,77,83,77,73,72,87
female,group B,high school,intermediate,provided,89,102,89,95,97,97,94,77
female,group C,high school,fluent,none,71,83,71,77,76,71,76,66
female,group D,high school,fluent,provided,83,95,83,89,89,82,91,77
female,group D,high school,intermediate,provided,55,67,55,61,59,57,56,52
male,group C,some high school,intermediate,none,62,73,62,68,63,63,54,68
male,group B,associate's degree,fluent,none,73,85,73,79,74,76,64,80
female,group C,associate's degree,fluent,none,72,84,72,78,77,77,73,66
male,group B,some college,fluent,provided,74,86,74,80,79,77,77,69
male,group D,some college,intermediate,none,55,66,55,61,56,47,56,61
male,group C,associate's degree,fluent,provided,77,89,77,83,80,77,77,78
female,group B,associate's degree,fluent,none,52,63,52,58,56,52,54,49
female,group B,some high school,fluent,provided,75,87,75,81,82,82,78,65
female,group E,some college,fluent,none,78,90,78,84,82,78,80,76
female,group B,associate's degree,intermediate,none,61,73,61,67,67,65,65,54
male,group A,high school,fluent,provided,65,76,65,71,65,58,62,75
male,group C,high school,fluent,none,74,85,74,80,78,79,71,71
female,group B,high school,intermediate,none,80,92,80,86,86,87,82,71
male,group B,some high school,fluent,none,64,75,64,70,66,64,61,67
male,group B,associate's degree,intermediate,provided,67,79,67,73,70,70,63,69
female,group D,some college,fluent,none,74,86,74,80,79,77,77,69
female,group B,associate's degree,intermediate,provided,75,87,75,81,81,77,80,68
male,group B,some high school,fluent,none,58,69,58,64,58,54,53,68
female,group B,associate's degree,fluent,provided,64,76,64,70,71,66,73,52
male,group D,associate's degree,fluent,provided,77,88,77,83,79,72,77,81
female,group E,high school,intermediate,none,57,69,57,63,61,58,57,57
female,group D,some college,intermediate,none,56,68,56,62,61,58,60,49
female,group C,high school,intermediate,provided,65,77,65,71,70,71,65,59
male,group A,some high school,intermediate,none,68,80,68,74,71,72,64,68
female,group D,some high school,fluent,provided,74,86,74,80,80,78,78,66
male,group D,high school,fluent,none,87,98,87,93,87,81,84,95
male,group A,some high school,fluent,provided,66,78,66,72,71,67,69,62
female,group E,some college,fluent,none,68,80,68,74,74,73,70,62
female,group C,some high school,intermediate,provided,81,93,81,87,87,84,87,71
female,group C,some college,fluent,none,61,73,61,67,65,59,66,58
male,group A,high school,fluent,none,54,65,54,60,56,51,54,57
female,group C,some college,fluent,provided,76,88,76,82,82,81,79,67
female,group B,high school,fluent,none,97,100,97,103,100,97,96,97
male,group C,high school,intermediate,provided,52,63,52,58,55,51,51,53
male,group E,some high school,fluent,provided,59,70,59,65,59,51,57,68
female,group C,some college,fluent,none,51,63,51,57,54,48,52,54
female,group B,high school,intermediate,provided,81,93,81,87,86,85,82,76
female,group B,high school,intermediate,provided,76,88,76,82,82,80,81,67
male,group D,high school,intermediate,none,71,82,71,77,73,70,69,74
male,group E,associate's degree,fluent,none,64,75,64,70,64,57,62,72
male,group D,high school,fluent,none,56,67,56,62,57,54,50,64
male,group E,associate's degree,intermediate,none,43,55,43,49,46,43,41,46
female,group B,associate's degree,fluent,provided,91,102,91,97,93,87,92,94
female,group E,high school,fluent,none,82,94,82,88,86,83,83,80
female,group D,associate's degree,intermediate,none,69,81,69,75,77,76,76,55
female,group C,high school,intermediate,none,64,76,64,70,68,67,64,62
male,group C,high school,fluent,none,60,71,60,66,61,60,53,68
female,group D,high school,fluent,provided,66,78,66,72,73,68,74,56
male,group C,some high school,fluent,none,49,60,49,55,52,52,44,51
male,group A,high school,fluent,none,52,64,52,58,53,52,46,59
female,group C,high school,intermediate,none,73,85,73,79,80,78,79,62
female,group E,associate's degree,fluent,none,101,100,94,100,100,94,95,87
male,group E,some college,fluent,none,79,90,79,85,81,80,73,83
female,group D,some high school,intermediate,provided,56,69,56,62,65,65,64,40
female,group C,high school,intermediate,none,43,55,43,49,47,46,43,41
female,group C,some college,intermediate,provided,63,75,63,69,72,73,70,45
female,group D,some college,intermediate,none,65,77,65,71,70,66,70,60
male,group C,some college,intermediate,provided,50,62,50,56,54,48,53,50
female,group D,high school,intermediate,none,83,95,83,89,90,92,84,73
female,group E,high school,fluent,none,80,92,80,86,85,86,79,75
female,group C,some high school,fluent,provided,76,88,76,82,81,82,76,70
female,group C,high school,fluent,none,66,77,66,72,71,73,63,61
female,group D,associate's degree,limitted,provided,54,66,54,60,61,61,58,42
female,group A,associate's degree,intermediate,none,60,60,50,56,56,51,48,41
male,group E,high school,fluent,none,60,71,60,66,60,55,56,70
male,group B,associate's degree,intermediate,none,58,70,58,64,61,58,56,61
male,group C,associate's degree,fluent,none,71,83,71,77,74,73,67,74
male,group C,high school,intermediate,none,77,88,77,83,80,81,71,79
male,group D,some high school,fluent,none,73,84,73,79,75,74,69,75
female,group B,high school,fluent,none,84,96,84,90,89,90,84,77
female,group A,some high school,fluent,provided,75,87,75,81,83,85,80,59
male,group A,associate's degree,fluent,none,59,70,59,65,60,57,53,67
male,group A,some high school,intermediate,none,59,70,59,65,60,59,53,65
female,group B,some high school,fluent,none,68,79,68,74,72,69,68,66
female,group A,high school,fluent,none,56,68,56,62,63,59,64,45
female,group C,associate's degree,intermediate,provided,68,80,68,74,71,67,69,68
male,group E,some college,fluent,none,73,84,73,79,75,71,72,76
female,group D,some college,fluent,provided,74,86,74,80,80,78,77,68
female,group D,associate's degree,intermediate,provided,84,96,84,90,91,88,90,74
male,group C,high school,intermediate,none,57,69,57,63,59,55,55,62
male,group E,some college,fluent,none,70,81,70,76,71,67,67,76
female,group D,high school,fluent,none,86,98,86,92,91,89,89,79
male,group A,some high school,fluent,provided,66,78,66,72,69,68,64,66
female,group B,some college,fluent,provided,60,72,60,66,67,64,66,50
female,group E,some high school,intermediate,none,44,56,44,50,49,49,45,38
female,group D,associate's degree,fluent,none,72,84,72,78,76,71,74,71
male,group C,high school,intermediate,provided,54,65,54,60,56,51,52,58
male,group E,associate's degree,fluent,none,71,83,71,77,73,71,67,76
male,group B,associate's degree,fluent,none,45,57,45,51,48,43,45,48
female,group D,some college,intermediate,provided,79,91,79,85,86,86,83,67
female,group C,some college,fluent,provided,74,86,74,80,81,82,77,64
male,group C,high school,fluent,none,61,72,61,67,62,57,59,67
male,group B,high school,fluent,provided,68,80,68,74,70,65,68,72
male,group C,associate's degree,intermediate,provided,56,67,56,62,58,51,56,60
female,group C,high school,fluent,none,67,79,67,73,71,69,67,65
female,group E,associate's degree,fluent,none,63,75,63,69,68,62,69,59
male,group B,high school,fluent,none,61,72,61,67,63,60,57,66
male,group D,associate's degree,fluent,none,52,63,52,58,52,48,46,61
female,group C,associate's degree,fluent,provided,75,87,75,81,80,77,77,71
male,group A,high school,fluent,provided,86,98,86,92,89,84,87,87
male,group D,high school,fluent,none,85,96,85,91,87,84,82,89
female,group E,high school,fluent,none,66,78,66,72,71,68,68,62
female,group D,associate's degree,fluent,provided,92,105,102,100,96,92,95,88
male,group B,some college,intermediate,provided,63,75,63,69,68,65,66,59
female,group A,high school,fluent,none,64,76,64,70,68,68,63,61
female,group C,some college,fluent,none,74,86,74,80,79,78,76,69
male,group A,associate's degree,intermediate,provided,49,61,49,55,56,55,53,40
female,group E,high school,fluent,provided,78,89,78,84,82,79,80,74
female,group C,associate's degree,fluent,none,84,95,84,90,87,84,82,85
female,group D,some college,fluent,none,68,80,68,74,73,70,72,62
female,group C,some college,fluent,none,77,89,77,83,83,81,80,71
male,group B,associate's degree,fluent,provided,82,93,82,88,85,82,82,81
female,group D,some high school,fluent,none,53,65,53,59,58,58,54,48
male,group C,high school,fluent,provided,64,76,64,70,68,64,66,63
male,group D,associate's degree,fluent,none,56,67,56,62,58,55,52,61
male,group C,high school,fluent,provided,83,95,83,89,86,82,84,83
female,group B,some high school,fluent,none,49,61,49,55,55,55,51,41
female,group E,associate's degree,intermediate,none,78,90,78,84,84,84,81,70
male,group D,some college,intermediate,none,64,75,64,70,65,63,58,70
male,group E,high school,fluent,provided,79,90,79,85,82,80,76,81
female,group E,some college,fluent,none,72,84,72,78,76,70,76,71
female,group E,some college,fluent,provided,87,99,87,93,91,85,91,86
female,group B,some high school,fluent,none,43,55,43,49,48,46,46,37
female,group B,some college,intermediate,none,77,89,77,83,81,81,76,74
male,group A,high school,fluent,none,64,75,64,70,67,64,62,66
female,group A,some high school,fluent,provided,96,100,103,104,101,100,97,92
female,group D,some college,intermediate,provided,59,71,59,65,64,59,65,52
female,group D,associate's degree,fluent,provided,71,84,71,77,79,78,79,57
female,group C,some college,fluent,none,69,81,69,75,75,72,74,60
male,group B,high school,fluent,provided,66,77,66,72,66,62,60,76
male,group C,some high school,intermediate,provided,49,60,49,55,53,52,49,45
male,group D,some high school,intermediate,none,40,51,40,46,41,37,37,45
female,group B,some college,intermediate,provided,54,66,54,60,59,56,58,48
male,group E,some college,fluent,none,61,72,61,67,62,60,54,69
male,group C,some college,fluent,none,67,78,67,73,70,64,68,69
female,group C,some high school,fluent,none,51,63,51,57,56,54,53,47
female,group C,associate's degree,intermediate,none,58,69,58,64,62,58,61,54
female,group C,associate's degree,fluent,provided,58,70,58,64,63,59,62,52
male,group E,some high school,fluent,none,26,37,26,32,28,26,22,30
female,group B,high school,fluent,none,87,99,87,93,92,91,89,81
female,group E,high school,fluent,provided,70,82,70,76,73,70,70,71
female,group C,high school,intermediate,none,56,68,56,62,62,60,59,50
male,group B,associate's degree,intermediate,provided,56,67,56,62,59,57,53,58
female,group C,high school,fluent,none,75,87,75,81,79,78,74,73
male,group C,some college,fluent,none,69,81,69,75,71,74,61,73
female,group C,some college,intermediate,provided,59,72,59,65,68,66,69,42
female,group C,high school,intermediate,none,71,83,71,77,76,75,72,67
male,group B,some high school,fluent,provided,58,69,58,64,59,53,57,64
female,group B,high school,intermediate,provided,71,83,71,77,78,76,78,58
female,group B,high school,intermediate,none,18,30,18,24,25,24,23,8
female,group E,associate's degree,fluent,provided,96,100,96,102,100,100,95,93
male,group B,some college,fluent,none,60,71,60,66,63,61,57,62
female,group E,some college,fluent,none,68,80,68,74,71,70,66,68
male,group E,some college,fluent,none,52,64,52,58,55,55,48,53
female,group B,some high school,fluent,none,64,76,64,70,68,64,66,62
female,group B,some college,intermediate,none,65,77,65,71,70,68,66,61
male,group E,associate's degree,fluent,provided,80,92,80,86,83,81,79,81
male,group A,some college,fluent,provided,94,105,94,100,95,96,86,100
male,group D,some college,fluent,none,40,52,40,46,43,42,38,40
male,group E,high school,intermediate,provided,81,92,81,87,82,81,75,86
male,group B,some college,fluent,none,52,64,52,58,55,52,51,54
female,group C,some college,fluent,none,72,83,72,78,75,72,71,72
male,group D,associate's degree,fluent,provided,69,80,69,75,73,72,67,67
female,group E,high school,fluent,provided,81,92,81,87,85,81,82,79
female,group C,some high school,intermediate,none,61,73,61,67,66,65,62,55
male,group A,some high school,intermediate,none,37,49,37,43,40,39,34,39
female,group B,some college,intermediate,provided,70,82,70,76,75,75,70,65
female,group E,high school,fluent,provided,100,111,100,106,103,100,100,99
male,group D,high school,fluent,provided,66,77,66,72,69,64,66,68
female,group C,some high school,fluent,provided,84,96,84,90,90,90,85,77
female,group B,high school,intermediate,none,60,72,60,66,67,67,63,50
female,group C,some high school,intermediate,none,53,64,53,59,58,58,52,48
male,group C,high school,fluent,provided,87,98,87,93,89,85,85,91
female,group D,some college,fluent,none,74,85,74,80,76,68,77,77
male,group B,some high school,fluent,provided,83,95,83,89,88,85,86,79
female,group B,associate's degree,intermediate,none,64,76,64,70,71,71,67,53
male,group D,high school,intermediate,none,69,80,69,75,72,70,67,69
male,group A,some high school,intermediate,none,48,59,48,54,49,46,43,55
female,group C,some high school,fluent,none,72,83,72,78,76,73,73,69
female,group B,associate's degree,fluent,none,77,89,77,83,83,83,78,71
female,group D,some college,intermediate,none,74,86,74,80,81,81,77,65
male,group E,associate's degree,intermediate,provided,75,86,75,81,77,74,72,78
male,group B,associate's degree,fluent,none,83,94,83,89,84,78,81,90
male,group C,some college,fluent,provided,89,100,89,95,91,84,90,93
female,group D,high school,fluent,none,56,68,56,62,63,63,59,45
male,group E,high school,intermediate,none,54,66,54,60,57,56,51,55
male,group D,some college,fluent,none,73,84,73,79,74,73,67,79
female,group C,some college,intermediate,none,35,46,35,41,39,39,33,32
female,group E,associate's degree,fluent,none,67,78,67,73,70,65,69,66
male,group B,some high school,fluent,none,65,76,65,71,65,63,57,74
male,group E,high school,fluent,provided,74,85,74,80,74,66,71,85
male,group D,associate's degree,fluent,none,73,85,73,79,74,68,72,80
female,group C,high school,fluent,none,67,79,67,73,72,68,72,60
male,group D,associate's degree,fluent,provided,61,73,61,67,63,54,63,67
male,group E,some high school,fluent,provided,66,77,66,72,67,64,60,74
female,group B,associate's degree,intermediate,none,64,77,64,70,71,70,70,53
male,group C,high school,fluent,none,78,90,78,84,80,77,74,84
female,group C,high school,fluent,none,75,87,75,81,82,79,81,65
female,group C,high school,fluent,none,68,80,68,74,73,72,70,61
male,group B,some high school,fluent,provided,58,69,58,64,60,56,56,61
female,group B,some high school,fluent,provided,67,79,67,73,72,70,70,60
male,group E,some high school,fluent,provided,77,89,77,83,79,75,76,81
female,group B,some college,fluent,none,74,86,74,80,79,75,78,70
male,group C,associate's degree,fluent,provided,74,86,74,80,78,78,72,73
male,group E,some college,fluent,none,51,62,51,57,52,51,43,59
male,group C,some college,intermediate,none,56,68,56,62,59,57,54,58
male,group C,high school,fluent,provided,82,94,82,88,84,81,80,86
male,group E,associate's degree,intermediate,provided,44,56,44,50,47,43,44,46
male,group E,some high school,fluent,none,87,98,87,93,88,88,78,94
female,group D,high school,fluent,none,61,73,61,67,67,61,68,53
male,group E,high school,intermediate,provided,70,82,70,76,73,68,72,70
male,group C,high school,fluent,none,78,90,78,84,81,78,77,79
male,group B,high school,intermediate,none,80,91,80,86,80,75,76,88
male,group D,some college,fluent,provided,84,96,84,90,88,82,88,82
female,group D,associate's degree,intermediate,none,54,66,54,60,61,60,58,43
female,group B,associate's degree,intermediate,none,66,78,66,72,74,76,70,52
male,group A,high school,fluent,provided,80,91,80,86,83,78,81,80
male,group D,high school,fluent,provided,72,84,72,78,77,74,74,68
male,group D,high school,fluent,none,72,83,72,78,76,75,71,69
male,group B,high school,intermediate,none,23,34,23,29,24,24,15,30
male,group D,some college,intermediate,none,60,72,60,66,63,57,62,62
female,group C,high school,intermediate,none,51,63,51,57,58,58,54,40
male,group C,some college,fluent,none,76,88,76,82,80,78,75,76
male,group D,some college,fluent,none,62,73,62,68,62,57,58,72
male,group C,high school,intermediate,none,55,67,55,61,59,58,55,53
male,group D,high school,fluent,none,83,94,83,89,85,78,83,88
male,group B,high school,intermediate,none,46,58,46,52,49,45,45,49
female,group C,some college,fluent,provided,80,92,80,86,85,81,84,75
male,group E,high school,intermediate,provided,56,67,56,62,59,56,54,57
female,group E,high school,fluent,none,74,86,74,80,78,76,73,74
female,group B,high school,intermediate,provided,53,65,53,59,58,54,58,46
male,group E,associate's degree,intermediate,provided,81,92,81,87,81,73,80,91
female,group C,associate's degree,fluent,none,69,81,69,75,74,74,70,62
female,group B,some high school,fluent,provided,68,80,68,74,74,70,74,60
male,group D,associate's degree,fluent,none,69,80,69,75,70,68,64,75
female,group C,high school,fluent,none,76,87,76,82,80,80,75,72
male,group C,high school,fluent,provided,51,63,51,57,54,52,49,53
male,group B,some high school,fluent,provided,64,76,64,70,67,66,62,65
female,group B,some college,intermediate,none,51,63,51,57,56,53,55,45
male,group A,associate's degree,intermediate,provided,81,93,81,87,85,82,82,79
female,group C,associate's degree,fluent,provided,73,85,73,79,80,76,80,62
male,group D,some high school,fluent,provided,65,77,65,71,70,66,68,62
female,group D,some high school,intermediate,provided,79,91,79,85,85,86,81,69
female,group C,associate's degree,fluent,provided,68,80,68,74,74,73,72,59
female,group C,associate's degree,fluent,provided,77,89,77,83,84,84,81,67
male,group E,some high school,fluent,none,70,81,70,76,69,67,61,82
female,group A,high school,fluent,provided,75,87,75,81,80,80,76,68
female,group C,associate's degree,fluent,none,79,90,79,85,82,77,79,81
male,group C,some high school,intermediate,provided,43,54,43,49,43,37,40,53
male,group C,associate's degree,fluent,none,48,59,48,54,51,51,43,49
female,group D,high school,fluent,none,64,76,64,70,68,63,66,64
male,group C,high school,fluent,provided,93,104,93,99,95,90,92,96
male,group B,some college,intermediate,provided,61,72,61,67,64,62,60,60
female,group C,some college,intermediate,none,68,80,68,74,73,72,70,62
female,group C,high school,fluent,provided,89,101,89,95,96,94,95,77
female,group E,associate's degree,fluent,none,70,82,70,76,74,76,67,68
female,group C,high school,fluent,provided,99,110,99,105,103,100,100,96
male,group B,some college,intermediate,none,41,52,41,47,44,43,39,40
male,group D,some high school,fluent,provided,72,83,72,78,74,70,69,76
female,group C,high school,fluent,none,52,64,52,58,58,61,52,44
male,group D,some high school,fluent,none,63,75,63,69,67,67,61,62
male,group D,some high school,fluent,none,65,77,65,71,67,66,61,69
female,group A,associate's degree,intermediate,none,75,87,75,81,82,85,76,65
female,group D,some college,intermediate,none,69,81,69,75,73,65,74,69
male,group D,high school,intermediate,none,38,50,38,44,40,39,34,42
male,group C,high school,fluent,none,78,89,78,84,77,75,69,90
female,group C,high school,fluent,provided,79,91,79,85,86,84,85,69
male,group C,some college,fluent,none,61,73,61,67,65,61,62,61
male,group B,some college,fluent,provided,65,77,65,71,70,66,68,62
female,group C,associate's degree,intermediate,provided,89,101,89,95,95,93,93,82
female,group C,some college,limitted,none,31,43,31,37,38,39,33,22
male,group C,high school,fluent,provided,83,94,83,89,86,84,82,82
male,group D,associate's degree,intermediate,none,76,88,76,82,79,78,73,77
female,group D,some high school,fluent,none,62,74,62,68,67,67,61,59
male,group D,some high school,intermediate,none,47,58,47,53,47,42,41,59
female,group E,high school,fluent,none,88,100,88,94,94,92,91,81
female,group B,some high school,intermediate,none,77,89,77,83,82,81,79,72
female,group C,associate's degree,fluent,provided,79,92,79,85,86,86,84,68
male,group D,some college,fluent,none,67,79,67,73,70,64,70,67
female,group C,some high school,fluent,provided,83,95,83,89,88,87,85,76
female,group C,high school,intermediate,provided,74,86,74,80,80,74,81,66
female,group A,high school,fluent,none,67,79,67,73,73,72,70,59
female,group C,associate's degree,intermediate,none,68,80,68,74,73,73,68,64
male,group C,high school,fluent,none,57,69,57,63,59,56,55,61
female,group E,associate's degree,fluent,provided,87,99,87,93,93,88,94,79
male,group C,some college,fluent,none,46,58,46,52,47,44,42,53
female,group C,associate's degree,fluent,provided,69,81,69,75,73,67,73,68
male,group D,some high school,fluent,none,80,92,80,86,82,80,75,86
male,group D,some college,fluent,none,81,92,81,87,82,77,77,88
male,group D,high school,fluent,none,55,52,43,49,45,34,36,46
male,group C,high school,intermediate,none,57,69,57,63,60,61,52,58
male,group A,associate's degree,fluent,provided,92,100,92,98,93,92,86,97
female,group E,high school,intermediate,none,42,54,42,48,46,45,40,41
male,group D,high school,fluent,none,75,86,75,81,77,73,72,80
male,group C,some college,intermediate,none,75,86,75,81,78,77,73,74
male,group E,associate's degree,fluent,provided,64,76,64,70,67,63,64,66
female,group C,high school,fluent,none,90,102,90,96,96,93,95,83
female,group B,high school,fluent,none,64,75,64,70,67,64,62,65
male,group A,some college,fluent,provided,55,66,55,61,56,51,52,61
male,group A,some high school,fluent,none,39,50,39,45,39,31,36,51
female,group B,high school,fluent,none,48,60,48,54,54,52,51,42
female,group B,some college,fluent,none,63,75,63,69,66,65,61,63
female,group B,some college,fluent,none,65,77,65,71,70,67,67,62
female,group D,high school,fluent,none,54,66,54,60,57,52,55,56
other,group B,high school,fluent,none,62,74,62,68,67,68,61,58
male,group B,some high school,fluent,provided,89,100,89,95,91,86,87,94
male,group C,some high school,fluent,provided,73,84,73,79,75,72,69,78
male,group E,some college,intermediate,provided,51,62,51,57,55,52,51,49
male,group C,high school,intermediate,none,65,76,65,71,69,67,66,61
male,group C,high school,fluent,provided,60,71,60,66,60,58,53,69
female,group B,some high school,fluent,provided,59,71,59,65,64,61,62,54
male,group A,some high school,fluent,none,52,63,52,58,52,50,43,64
male,group D,associate's degree,fluent,none,77,89,77,83,80,75,77,80
male,group D,some high school,fluent,none,49,60,49,55,50,47,44,55
female,group C,some high school,fluent,provided,72,84,72,78,78,74,77,65
female,group D,some high school,fluent,provided,66,78,66,72,70,60,74,64
female,group D,high school,fluent,none,80,91,80,86,84,82,79,78
female,group C,associate's degree,fluent,provided,69,81,69,75,77,72,79,55
male,group D,some high school,fluent,none,58,69,58,64,60,59,54,60
female,group B,high school,fluent,none,79,91,79,85,86,86,83,67
male,group B,associate's degree,intermediate,none,41,52,41,47,43,41,38,44
male,group C,some college,fluent,none,43,54,43,49,43,39,37,53
male,group C,high school,fluent,none,54,65,54,60,56,55,48,58
male,group C,some high school,intermediate,provided,59,71,59,65,63,61,60,56
female,group D,some college,intermediate,none,85,97,85,91,90,89,86,79
male,group D,associate's degree,intermediate,none,78,89,78,84,80,75,78,81
male,group D,some college,fluent,provided,58,70,58,64,62,59,58,58
male,group B,high school,fluent,provided,50,61,50,56,50,44,47,60
male,group E,associate's degree,fluent,provided,60,72,60,66,63,61,58,62
male,group E,some college,fluent,provided,75,87,75,81,77,74,71,81
male,group B,high school,fluent,none,50,61,50,56,52,48,49,52
female,group C,high school,intermediate,none,70,82,70,76,75,76,68,66
male,group A,high school,intermediate,provided,56,68,56,62,61,58,60,49
male,group D,some high school,fluent,provided,74,86,74,80,78,71,78,74
male,group D,high school,fluent,none,68,79,68,74,70,66,66,72
female,group B,high school,fluent,none,73,84,73,79,76,72,72,74
male,group D,some high school,intermediate,provided,58,69,58,64,62,59,59,55
